t,ua,ub,uc,omega_mech,theta_mech,theta_e,ia,ib,ic,id,iq,T_em
0,0,0,0.15,-0.00126445,-1.26445e-07,0,-0.144509,-0.144509,0.289017,-0.144509,-0.250296,-0.00976156
0.001,0,0,0.15,-0.0788073,-3.4672e-05,-5.35825e-05,-1.47747,-1.44375,2.92122,-1.47734,-2.52019,-0.0982876
0.002,0,0,0.15,-0.257589,-0.000204516,-0.000357513,-2.62643,-2.40968,5.03611,-2.62489,-4.29977,-0.167691
0.003,0,0,0.15,-0.510968,-0.000596465,-0.00109074,-3.61645,-2.97985,6.59629,-3.61041,-5.53273,-0.215776
0.004,0,0,0.15,-0.810809,-0.00126967,-0.00237718,-4.46854,-3.13425,7.60279,-4.45379,-6.20964,-0.242176
0.005,0,0,0.15,-1.1297,-0.00225537,-0.00428481,-5.19999,-2.89017,8.09016,-5.17278,-6.36172,-0.248107
0.006,0,0,0.15,-1.44277,-0.00355867,-0.00682879,-5.82484,-2.29505,8.11988,-5.78364,-6.0527,-0.236055
0.007,0,0,0.15,-1.72908,-0.00516186,-0.0099779,-6.35459,-1.41829,7.77289,-6.30133,-5.36967,-0.209417
0.008,0,0,0.15,-1.97255,-0.00702891,-0.0136633,-6.79905,-0.34267,7.14172,-6.73938,-4.41361,-0.172131
0.009,0,0,0.15,-2.16238,-0.00911059,-0.0177887,-7.16707,0.844033,6.32303,-7.10966,-3.29029,-0.128321
0.01,0,0,0.15,-2.29306,-0.0113498,-0.022241,-7.46719,2.05643,5.41076,-7.42227,-2.10221,-0.081986
0.011,0,0,0.15,-2.36401,-0.0136867,-0.0269007,-7.70805,3.21767,4.49038,-7.68549,-0.94186,-0.0367325
0.012,0,0,0.15,-2.37893,-0.0160633,-0.0316509,-7.89845,4.26397,3.63447,-7.90599,0.113309,0.00441904
0.013,0,0,0.15,-2.34491,-0.0184272,-0.0363855,-8.04721,5.14752,2.89969,-8.08909,1.00419,0.0391636
0.014,0,0,0.15,-2.27148,-0.0207346,-0.0410148,-8.16285,5.8377,2.32515,-8.23914,1.69156,0.065971
0.015,0,0,0.15,-2.16958,-0.0229519,-0.0454698,-8.25318,6.32089,1.93229,-8.35982,2.156,0.0840839
0.016,0,0,0.15,-2.0506,-0.025057,-0.0497038,-8.32496,6.59906,1.7259,-8.45447,2.39643,0.0934608
0.017,0,0,0.15,-1.92552,-0.0270389,-0.0536926,-8.38363,6.68745,1.69618,-8.5262,2.42764,0.0946779
0.018,0,0,0.15,-1.8042,-0.028897,-0.0574331,-8.43314,6.61166,1.82148,-8.57799,2.27697,0.0888019
0.019,0,0,0.15,-1.69484,-0.0306397,-0.0609405,-8.47605,6.40441,2.07165,-8.61267,1.98066,0.0772458
0.02,0,0,0.15,-1.60364,-0.0322827,-0.0642447,-8.51362,6.10231,2.41131,-8.63287,1.58003,0.0616211
0.021,0,0,0.15,-1.53466,-0.0338465,-0.067386,-8.54607,5.74284,2.80323,-8.64096,1.11789,0.0435975
0.022,0,0,0.15,-1.48983,-0.0353545,-0.070411,-8.57287,5.36163,3.21124,-8.63897,0.635329,0.0247778
